Consent,ageFeel,oldBegin,oldReally,age,gender,numChild
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,60,32,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,30,50,24,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,45,65,45,Female,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,55,70,59,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,60,34,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,60,25,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,38,77,32,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,50,70,27,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,27,27,27,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,80,20,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,45,75,37,male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,80,27,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,70,80,42,FEMALE,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,75,34,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,65,75,35,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,70,90,29,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,50,65,24,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,30,40,22,Female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,65,85,46,female,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,30,70,24,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,45,60,42,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,70,40,Male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,60,80,28,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,65,29,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,70,80,57,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",7,79,60,79,Male,4
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,65,80,35,Male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,51,81,59,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,60,29,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,45,65,34,Male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,35,80,37,Female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,70,85,46,Female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,70,44,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,65,90,31,female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,80,33,Male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,70,90,54,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,55,75,54,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,70,40,female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,70,31,male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,65,23,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,45,65,33,Male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,30,40,30,male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,30,50,31,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,65,20,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,60,36,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,65,85,53,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,70,45,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,70,80,57,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,70,36,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,55,25,Female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,45,55,29,Male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,30,40,24,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,50,65,31,female,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,70,80,57,female,4
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,70,80,31,Male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,65,75,54,female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,50,80,57,female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,28,50,32,Female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",1,25,30,30,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,45,65,21,Female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,35,60,21,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,70,90,75,Female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,45,60,40,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,45,65,44,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,60,80,35,male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,60,30,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,60,41,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,60,31,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,70,60,50,MALE,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,40,60,29,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,35,70,22,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,35,80,35,Female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,65,90,68,Female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,45,70,33,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,50,80,47,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,75,25,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",1,40,60,23,Female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,35,60,37,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,55,80,52,female,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,40,65,27,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,30,45,30,male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,55,40,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,35,50,21,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,28,18,28,mael,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,32,60,34,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,70,90,30,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,60,49,female,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,70,90,57,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,65,75,37,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,60,30,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,40,70,26,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,60,80,53,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,65,80,49,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,55,32,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,60,80,54,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,45,60,36,male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,50,70,31,Male,4
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,30,55,24,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,48,75,26,Female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,50,70,41,Male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,30,50,33,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,75,30,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,40,60,25,MALE,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,55,72,36,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,58,70,26,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,50,65,33,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,30,60,29,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,60,70,51,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,80,32,female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,80,100,21,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,80,38,Female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,45,70,34,Male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,50,30,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,60,80,57,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,70,28,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,30,60,28,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,60,70,42,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,35,60,34,Male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,60,80,31,male,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,60,55,female,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,50,80,51,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,45,65,28,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,30,79,29,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,70,29,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,30,30,30,MALE,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,45,70,35,Female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,60,41,female,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,40,60,25,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,40,70,30,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,60,80,29,Female,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,70,28,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,80,34,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,20,22,26,male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,55,75,57,Femail,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,60,80,37,Female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,60,25,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,60,70,63,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,30,45,33,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,70,34,female,4
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,70,32,Female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,75,39,female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,55,65,28,Female ,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,58,75,58,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,60,70,61,Female ,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,60,70,65,Male ,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,60,80,35,female,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,50,70,43,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,60,70,35,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,56,77,27,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",7,26,26,26,female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,40,50,28,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,60,70,44,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,50,70,53,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,30,55,30,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,60,85,41,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,70,25,25,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,65,39,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,35,50,47,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,55,75,25,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,40,50,23,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,65,75,42,Female,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,50,70,35,Male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,60,70,45,male,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,35,55,30,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,45,60,28,male,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,45,65,34,Male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,29,65,29,FEMALE,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,60,90,33,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,75,32,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,60,80,75,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,60,80,37,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,55,70,44,female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,50,75,24,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,50,80,23,female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,50,60,49,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,70,100,55,female,5
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,69,80,69,male,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,60,41,male,0
